"","Product.type","MalagasyName","EnglishName","LocalName","ScientificName","FinalName"
"2499","HORITA","Horita","Octopus","","","Horita"
"2500","HORITA","Horita","Octopus","","","Horita"
"2501","HORITA","Horita","Octopus","","","Horita"
"2502","ANGISY","Angisy","Squid","","","Angisy"
"2503","ANGISY","Angisy","Squid","","","Angisy"
"2504","ANGISY","Angisy","Squid","","","Angisy"
"2505","VORAMASAKE","Voramasake","","VORAMASAKE,VORAMASAEKE","SIGANUS SUTOR, SIGANUS STELLATUS, SIGANUS SUTOR<A0>, SIGANUS NETOR","VORAMASAKE,VORAMASAEKE"
"2506","LANORA","Fia Lanora","Yellowspotted or giant trevally/ caragoides fulvoguttatus or Caranx ignobilis","LANORA","CARANX PAPUENSIS, CARANX MELAMPYGUS, CARANX IGNOBILIS, CARANGOIDES FULVOGUTTATUS, CARANGOIDES FERDAU, CARANX IGNOBILIS<A0>","LANORA"
"2507","LANORA","Fia Lanora","Yellowspotted or giant trevally/ caragoides fulvoguttatus or Caranx ignobilis","LANORA","CARANX PAPUENSIS, CARANX MELAMPYGUS, CARANX IGNOBILIS, CARANGOIDES FULVOGUTTATUS, CARANGOIDES FERDAU, CARANX IGNOBILIS<A0>","LANORA"
"2508","VORAMASAKE","Voramasake","","VORAMASAKE,VORAMASAEKE","SIGANUS SUTOR, SIGANUS STELLATUS, SIGANUS SUTOR<A0>, SIGANUS NETOR","VORAMASAKE,VORAMASAEKE"
"2509","ANGISY","Angisy","Squid","","","Angisy"
"2510","ANGISY","Angisy","Squid","","","Angisy"
"2511","ANGISY","Angisy","Squid","","","Angisy"
"2512","AMBARIAKE","Ambariake","Gerres acinaces/ strongspine silver biddy","AMBARIAKE,AMBARIAKA","GERRES ACINACES, GYMNOCRANIUS GRISEUS, GYMNOCRANIUS GRANDOCULIS, MONOTAXIS GRANDOCULIS, LETHRINUS HARAK, GERE ACINACES","AMBARIAKE,AMBARIAKA"
"2513","HORITA","Horita","Octopus","","","Horita"
"2514","ANGISY","Angisy","Squid","","","Angisy"
"2515","HORITA","Horita","Octopus","","","Horita"
"2516","",NA,NA,NA,NA,NA
"2517","",NA,NA,NA,NA,NA
"2518","",NA,NA,NA,NA,NA
